commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
VILLENEUVE TOLOSANE,*0311079E*,E.E.PU FERNAND BÉCANE,3 BOULEVARD DES ECOLES VILLENEUVE TOLOSANE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;2755 ENS.IT.SPE ITIN PRIMO ARRI100 %            1.00,30,NA,NA,NA,NA,NA,NA
AGASSAC,*0311980J*,E.E.PU DENIS LATAPIE,LIEU-DIT LA BOURDETTE AGASSAC Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 13 ST GAUDENS,E.E.PU,;37 DIR.EC.ELE 0119 1 CLASSE 100 %             1.00,42,NA,NA,NA,NA,NA,NA
AIGREFEUILLE,*0310251E*,E.M.PU,21 CHEMIN DE L'AUTAN AIGREFEUILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 8 LANTA,E.M.PU,;504 DIR.EC.MAT 0121 2 CLASSES 100 %             1.00;2318 ENS.CL.MA ECMA SANS SPEC.100 %              1.00,42,NA,NA,NA,1,NA,NA
AIGREFEUILLE,*0312270Z*,E.E.PU BLEUE SOLEIL,CHEMIN DE L'AUTAN AIGREFEUILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 8 LANTA,E.E.PU,;202 DIR.EC.ELE 0119 5 CLASSES 100 %             1.00;866 REMP.ST.LO 2558 SANS SPEC.100 %    1.00   REMPLACEMENT EN ASH;1064 TIT.R.ZIL 2584 SANS SPEC.100 %              1.00,42,NA,NA,NA,NA,NA,NA
AIGREFEUILLE,*0312270Z*,E.E.PU BLEUE SOLEIL,CHEMIN DE L'AUTAN AIGREFEUILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 8 LANTA,E.E.PU,;1934 ENS.CL.ELE ECEL SANS SPEC.100 %           3.00,43,NA,NA,NA,NA,NA,NA
ALAN,*0310253G*,E.M.PU,RUE FONICARDE ALAN Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 13 ST GAUDENS,E.M.PU,;487 DIR.EC.MAT 0121 1 CLASSE 100 %            1.00,43,NA,NA,NA,NA,NA,NA
ANAN,*0310256K*,E.E.PU,VILLAGE ANAN Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 13 ST GAUDENS,E.E.PU,;1 DIR.EC.ELE 0119 1 CLASSE 100 %            1.00,43,NA,NA,NA,NA,NA,NA
ARBAS,*0310258M*,E.E.PU,VILLAGE ARBAS Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.E.PU,;2 DIR.EC.ELE 0119 1 CLASSE 100 %            1.00,43,NA,NA,NA,NA,NA,NA
ARDIEGE,*0312626L*,E.P.PU,VILLAGE ARDIEGE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.P.PU,;87 DIR.EC.ELE 0119 2 CLASSES 100 %           1.00;1983 ENS.CL.ELE ECEL SANS SPEC.100 %           1.00,43,NA,NA,NA,NA,NA,10
ASPET,*0310268Y*,E.P.PU GERMAINE BARÈS,PRE COMMUN ASPET Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.P.PU,;130 DIR.EC.ELE 0119 4 CLASSES 100 %           1.00;1121 TIT.R.BRIG 2585 SANS SPEC.100 %           1.00;1591 ENS.CL.ELE ECEL SANS SPEC.100 %           2.00;2319 ENS.CL.MA ECMA SANS SPEC.100 %            1.00;2828 PSY.RESEAU PSYR SANS SPEC.100 %           1.00,43,NA,NA,NA,1,NA,NA
AUCAMVILLE,*0311552U*,E.M.PU HENRI MATISSE,1 RUE DES ECOLES AUCAMVILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.M.PU,;758 DIR.EC.MAT 0121 7 CLASSES 100 %           1.00;1584 ENS.APP.MA EAPM APPLICAT 100 %            2.00,43,NA,NA,NA,NA,NA,NA
AUCAMVILLE,*0311552U*,E.M.PU HENRI MATISSE,1 RUE DES ECOLES AUCAMVILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.M.PU,;2436 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    3.00,44,1,NA,NA,3,NA,NA
AUCAMVILLE,*0310951R*,E.E.PU JULES FERRY,1 RUE JULES FERRY AUCAMVILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.E.PU,;404 DIR.EC.ELE 0119 12 CLASSES100 %           1.00;1562 ENS.APP.EL EAPL APPLICAT 100 %     1.00;1794 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    9.00,44,NA,1,NA,NA,9,NA
